文件名,总变量数,存在漏洞变量数,危险路径总数,可疑路径总数,存在漏洞的变量名,分析时间,源码文件路径
0xf37454790e35b9c5adf6b0c33304156688a6a306,28,2,0,1,"admin, balances",2025-10-10T13:05:55.358214,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf37454790e35b9c5adf6b0c33304156688a6a306.sol
0xf4985070ce32b6b1994329df787d1acc9a2dd9e2,28,1,0,0,seller,2025-10-10T13:05:33.093689,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4985070ce32b6b1994329df787d1acc9a2dd9e2.sol
0xf4609d26a58598d6b80b11f451a00477f61d8804,11,4,0,3,"totalSupply, spender, _from, _value",2025-10-10T13:05:16.533323,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4609d26a58598d6b80b11f451a00477f61d8804.sol
0xf355164187e533b1969b4de46737c4e8bc9ae7e2,11,4,0,3,"totalSupply, spender, _from, _value",2025-10-10T13:05:35.858435,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf355164187e533b1969b4de46737c4e8bc9ae7e2.sol
0xf354b2e5ea679a726d0348a974971cb4697bf508,10,4,0,3,"totalSupply, spender, _from, _value",2025-10-10T13:05:43.228242,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf354b2e5ea679a726d0348a974971cb4697bf508.sol
0xf49cdd50ad408d387d611f88a647179c3de3492b,14,4,0,0,"totalSupply, balances, to, value",2025-10-10T13:05:08.228522,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf49cdd50ad408d387d611f88a647179c3de3492b.sol
0xf3f3dd2b5d9f3de1b1ceb6ad84683bf31adf29d1,7,4,0,5,"closed, sender, reciver, giftTime",2025-10-10T13:05:57.810060,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3f3dd2b5d9f3de1b1ceb6ad84683bf31adf29d1.sol
0x4720f2468eeb7a795945c5ffbc3b0178e32250e0,40,2,0,3,"cfoAddress, geneScience",2025-10-10T13:05:30.083900,/Users/almightyfish/Desktop/AChecker/AC/undependency/0x4720f2468eeb7a795945c5ffbc3b0178e32250e0.sol
0xf441b73b0a196aa67d32aee230aab5e54eef4765,19,7,0,1,"startingPrice, firstStepLimit, secondStepLimit, _to, _tokenId, _from, _price",2025-10-10T13:05:06.720015,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf441b73b0a196aa67d32aee230aab5e54eef4765.sol
0xf4896e3273d8cfed47896c596f42efd08eea390f,23,4,0,3,"ceoAddress, cfoAddress, cooAddress, _addedValue",2025-10-10T13:06:06.169467,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4896e3273d8cfed47896c596f42efd08eea390f.sol
0xf39e32606f59e5dbbeebe81eb8251f1c380fb5f4,10,0,0,0,,2025-10-10T13:05:51.323914,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf39e32606f59e5dbbeebe81eb8251f1c380fb5f4.sol
0xf46002c37af6fb078ae1833fd447698a0c9012f7,20,0,0,0,,2025-10-10T13:05:12.831344,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf46002c37af6fb078ae1833fd447698a0c9012f7.sol
0xf363abeedd0402de170a6f2bceb920db37f8b8cb,9,0,0,0,,2025-10-10T13:05:28.117957,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf363abeedd0402de170a6f2bceb920db37f8b8cb.sol
0x47fb9b34d4eca0ca1d25cafcb4924d8fc94e8170,28,2,0,5,"suspended, tokenPrice",2025-10-10T13:05:38.739885,/Users/almightyfish/Desktop/AChecker/AC/undependency/0x47fb9b34d4eca0ca1d25cafcb4924d8fc94e8170.sol
0xf4b270c1590b799cc254326a98e3aba97261460e,11,6,0,3,"transactions, required, destination, value, data, executed",2025-10-10T13:05:54.373204,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4b270c1590b799cc254326a98e3aba97261460e.sol
0xf3e9e677e82d989445ba7d6a564b616a3171bbfb,9,8,0,0,"balances, currentTotalSupply, airdropNum, currentTotalSupply2, _to, _value, _from, _spender",2025-10-10T13:05:40.751682,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3e9e677e82d989445ba7d6a564b616a3171bbfb.sol
